SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200627,20060831,5,14,1,2.02,PRD0900173,CL00045,DEP00011,G00004,D00002,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060829,3,19,1,0.94,PRD0900265,CL00163,DEP00055,G00016,D00003,,,,994102100150347,M,LA,Small Shop,Grocery,STORE00001,LS,E02
200627,20060829,3,19,1,0.72,PRD0900363,CL00138,DEP00048,G00013,D00003,,,,994102100150347,M,LA,Small Shop,Grocery,STORE00001,LS,E02
200627,20060831,5,14,3,3.33,PRD0900533,CL00157,DEP00053,G00016,D00003,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060831,5,14,1,0.71,PRD0900859,CL00006,DEP00002,G00001,D00001,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060831,5,14,1,1.88,PRD0901386,CL00148,DEP00052,G00015,D00003,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060831,5,14,1,3.04,PRD0901948,CL00023,DEP00008,G00004,D00002,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060831,5,14,1,3.34,PRD0902064,CL00073,DEP00021,G00007,D00002,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060831,5,14,1,1.73,PRD0902439,CL00063,DEP00019,G00007,D00002,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060831,5,14,1,0.43,PRD0903052,CL00031,DEP00008,G00004,D00002,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060829,3,19,3,3.78,PRD0903282,CL00150,DEP00052,G00015,D00003,,,,994102100150347,M,LA,Small Shop,Grocery,STORE00001,LS,E02
200627,20060831,5,14,5,4.3,PRD0903487,CL00150,DEP00052,G00015,D00003,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060829,3,19,1,1.13,PRD0903494,CL00153,DEP00052,G00015,D00003,,,,994102100150347,M,LA,Small Shop,Grocery,STORE00001,LS,E02
200627,20060831,5,14,1,0.93,PRD0904213,CL00198,DEP00067,G00021,D00005,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060831,5,14,1,1.4,PRD0904488,CL00089,DEP00025,G00008,D00002,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060902,7,12,1,3.75,PRD0904664,CL00052,DEP00013,G00005,D00002,CUST0000709487,UM,OA,994102100605710,S,MM,Small Shop,Fresh,STORE00001,LS,E02
200627,20060831,5,14,1,0.82,PRD0904695,CL00198,DEP00067,G00021,D00005,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060902,7,12,1,0.01,PRD0903678,CL00222,DEP00076,G00023,D00005,CUST0000709487,UM,OA,994102100605710,S,MM,Small Shop,Fresh,STORE00001,LS,E02
200627,20060831,5,14,1,3.21,PRD0902748,CL00201,DEP00067,G00021,D00005,CUST0000950029,UM,YF,994102100756477,L,UM,Top Up,Mixed,STORE00001,LS,E02
200627,20060903,1,13,1,0.01,PRD0900191,CL00212,DEP00070,G00022,D00005,CUST0000759998,LA,OF,994102100637240,M,LA,Small Shop,Fresh,STORE00002,LS,W01
200627,20060828,2,18,1,0.95,PRD0900302,CL00037,DEP00010,G00004,D00002,CUST0000311218,LA,OT,994102100357283,M,LA,Top Up,Mixed,STORE00002,LS,W01
200627,20060901,6,16,1,1.89,PRD0900338,CL00081,DEP00023,G00007,D00002,CUST0000692703,MM,OF,994102100594798,M,LA,Top Up,Fresh,STORE00002,LS,W01
200627,20060901,6,16,1,0.81,PRD0901300,CL00079,DEP00022,G00007,D00002,CUST0000692703,MM,OF,994102100594798,M,LA,Top Up,Fresh,STORE00002,LS,W01
200627,20060901,6,16,1,0.98,PRD0901897,CL00020,DEP00005,G00003,D00001,CUST0000692703,MM,OF,994102100594798,M,LA,Top Up,Fresh,STORE00002,LS,W01
200627,20060901,6,16,1,1,PRD0902029,CL00031,DEP00008,G00004,D00002,CUST0000692703,MM,OF,994102100594798,M,LA,Top Up,Fresh,STORE00002,LS,W01
200627,20060828,2,18,1,1.03,PRD0902479,CL00144,DEP00051,G00015,D00003,CUST0000311218,LA,OT,994102100357283,M,LA,Top Up,Mixed,STORE00002,LS,W01
200627,20060903,1,13,1,0.01,PRD0902965,CL00212,DEP00070,G00022,D00005,CUST0000759998,LA,OF,994102100637240,M,LA,Small Shop,Fresh,STORE00002,LS,W01
200627,20060828,2,18,1,0.51,PRD0903052,CL00031,DEP00008,G00004,D00002,CUST0000311218,LA,OT,994102100357283,M,LA,Top Up,Mixed,STORE00002,LS,W01
200627,20060828,2,18,1,2.14,PRD0903774,CL00140,DEP00049,G00014,D00003,CUST0000311218,LA,OT,994102100357283,M,LA,Top Up,Mixed,STORE00002,LS,W01
200627,20060828,2,18,1,2.03,PRD0903917,CL00123,DEP00044,G00012,D00003,CUST0000311218,LA,OT,994102100357283,M,LA,Top Up,Mixed,STORE00002,LS,W01
